teacher1,teacher1score,teacher2,teacher2score,teacher3,teacher3score,teacher4,teacher4score,teacher5,teacher5score,teacher6,teacher6score
"Late for lecture every time, Should be on time.",-1,Very good teaching skills.,1,Teaching should be improved.,-1,Not so good,-1,Good but to be improved.,0,Best of all.,1
Best teaching skills amongst all the teachers.,1,English needed to be improved.,-1,Good ,1,Good,1,Need much improvement,-1,Need much improvement.,-1
Good but always late for class,0,Okay Okay,0,Okay Okay,0,Neutral,0,Great,1,Okay Okay,0
Teaching is not good,-1,Best teacher ever,1,Teacher should be on time for lectures ,-1,Good but needed to be improved,0,Not good,-1,Not Great,-1
Teaching is good but late for lectures,0,Best,1,One of the best Teacher,1,English to be improved,-1,Better improve English,-1,Should teach properly,-1
Good but not on time for lectures,0,Average teaching methodology,0,Bad pronunciation of words,-1,Explain the topic nicely,1,Good teaching skills,1,Problems in understanding,-1
Best,1,Better,1,Awesome,1,Not good,-1,Best teacher,1,Late for classes,1
Not that good,-1,Very much better,1,Beliver,1,One of the best teachern,1,Worst teaching ever,-1,Not that bad,-1
Not that good teaching,-1,Very nice nd clean teaching,1,Very poor,-1,Staisfying,1,Excellent,1,Do not counduct lectures at all,-1
Not on time for lectures,-1,Teaching is much better,1,No need to be improved,-1,Very Godd in teachings,1,Better one,1,cool,1
Not on time for lectures,-1,Cool,1,Teachings are awsome,1,Need the skills to be improved,-1,One of the best teacher,1,So rude with students and also teachings are not that better,-1
poor,-1,motherfucker,1,not bad and not so much good,-1,excelent,1,beautiful,1,bitch,1
good,1,good,1,good,1,good,1,good,1,good,1
good,1,good,1,good,1,good,1,good,1,good,1
good,1,good,1,good,1,good,1,good,1,good,1
nice,1.0,nice,1.0,nice,1.0,nice,1.0,nice,1.0,nice,1.0
nice,1.0,nice,1.0,nice,1.0,nice,1.0,nice,1.0,nice,1.0
nice,1.0,nice,1.0,nice,1.0,nice,1.0,nice,1.0,nice,1.0
nice,1.0,nice,1.0,nice,1.0,nice,1.0,nice,1.0,nice,1.0
Teach very well,1.0,Come late to class,1.0,talk more,0.0,less knowledge,-1.0,experience,1.0,poor,-1.0
Teach very well,1.0,Come late to class,1.0,talk more,0.0,less knowledge,-1.0,experience,1.0,poor,-1.0
